content,score
毕竟是旅游团，饮食、住行、行程安排等方面还是有所欠缺的。在这里说下我的感受，评论比较客观，希望能给网友提供参考。1.旅游团的张家界玻璃桥，不包含大峡谷，大峡谷风景一般，建议大家也别坐从山上下来的寻宝电梯，价格好像是35，就十几秒就下来了，感觉坑钱。2.该团最值得去的地方是张家界天门山（红牛鼠翼比赛点）去完大峡谷当晚的一个由冯小刚导演的魅力湘西晚会（需补100多元票价）3.凤凰古城古老的文化早已沦陷，附近到处是酒吧和周边，如果想要拍照的同学建议晚上灯火阑珊时和清早选景。4.该旅游团去天门山***天不包含午餐，建议大家前晚准备些面包。5.团会带你去一些购物的地方，大概3个地方呆一个多小时，没办法，毕竟旅游团，建议大家可以在等待期间逛一下周围的周边，风景。6.旅行无非是一个由自己呆腻的地方去别人呆腻的地方，无非是走走转转去一个没去的地方。所以总归来说，不是去一个地方好不好玩，而是跟一个相互有意思的对的人去共同一场有意思的回忆。7.哈哈，没给五星好评，没了15块钱回馈报酬，但为了你们玩好，无所谓了。8.我的微信Tgmanstyle，欢迎驴友咨询！,1
这个是湘当好公司组织的常规线路，我们夫妻二人报的是八月十四日的团，结果早上出发时本人得了急性肠炎，上吐下泻，腹痛难耐。上车立即向导游反应这事，导游刘青立即向经理电话反映后回复我：鉴于我们的情况特殊，可以脱离旅游团。第一天的费用已经产生不能退，第二和第三天的费用可以退回。我们觉得这样合理就半路签字下车，自己打车去医院看病了！回来后也没人和我们联系，我们自己去找值班的小李联系，小李说我们情况特殊，可以退费，但只能退回最后一天凤凰的费用，二人共计可退100元！原因是行程全部提前预订了～我们觉得公司这点做得很不厚道。出发时导游请示经理后回复我们第一天费用不能退，第二和第三天的费用可以退，我们认为很合理。然后导游又向全团成员说明这是一个组合团，每个人的行程都不一样，每天要重新组合的！既然是这样，经理开始的回复是正确的，第二和第三天的行程重新组合后完全可以把我们夫妻二人的费用剔除出来。可小李却反复说门票，住宿费，餐费，车费全部提前预订了～我们认为小李的话与经理的话不对调也与事实不符合～我夫妻二人花费几千元，一个景点也没进过。湘当好公司只退给我们二人100元！是否诚信是否坑人呢？,1
第一天是大概12点多到目的地的，下午的行程是大峡谷?玻璃桥，提一些行程上没提到的点。大峡谷的门票是不包含的138一位如果乘坐电梯下来的话是30一位，假如不想游玩大峡谷只游览玻璃桥的话只能4.40才进去了，这也是景区的规定，所以也不用异想天开的说700真的可以包含所有啦~.第二天天门山景区真的很棒，不过在这之前会先去一个特产超市，导购会给你介绍一个多小时吧，这有点烦，早上起很早听这些真的是。。到了天门山的时间也差不多是112点，排完队也是下午玩，这个景点值得去，缆车很棒。晚上会去到凤凰，看看夜景。第三天又是早早的起床，导游会带你转一转凤凰古城，坐坐船，感觉凤凰比较适合拍照吧，没有太大的游玩价值，当地人并不淳朴，想要穿民族服饰拍照的朋友们要有自制力，不要让她给你拍太多，会很难选，10块钱一张我拍了两百多块。。有点被坑的感觉。总体下来三天的行程大概要除去一天的时间坐车，因为凤凰实在是太远了，想要玩的更舒服肯定是选择自由行或者自驾游，不过这个团价格不贵该玩的也差不多都玩到了，性价比还可以。PS：关于酒店有的酒店空调会限时开放洗漱用品没有那么齐全建议自备,1
太差了，跟团出去就是吃不好，睡不好，什么都没怎么玩，，特别是在天门山的时候，就坐车上去玩了一个景区就坐索道下去了，什么都没见着。根本就不是介绍说的那样。。导游说好评给30块，我是真的不缺。就爆料下吧，建议你们还是考虑清楚,1
一下订单就被告知大峡谷跟大峡谷玻璃桥是分开的景点，大峡谷属于自费，叫我去看行程自费项目里有标明，标明是标明了，但行程明显是误导人。去了之后也交了大峡谷的钱给导游，想着反正去一趟也不容易，导游也说非常值得一去，结果大峡谷跟大峡谷玻璃桥也只验了一次票，走完玻璃桥直接从大峡谷走出来，就是一直走走走。住宿一般这都可以接受，团餐差的根本吃不下饭！看景点的时候走马观花赶死了，大把时间把我们扔进购物店，不买不看就干等着吧！只能说国内旅游一般黑！无力吐槽！,1
这次是来长沙玩的，抽出三天时间来嗨，起初想自己去，但是路线景点都不知道，在118114找了家当地旅行社的电话，怎么也打不通，无奈之下上携程搜，我们想去张家界，搜出很多，就挑了一个，想着携程的应该不怎么样吧，所以也会看好评才决定，关键看了差评，不过好评比较多，就抱着试一试的态度报团了，没想到从张家界玻璃栈道，再到第二天的天门山，第三天的凤凰古城，每个地方的景点，王导都一一进行讲解，有个别一两个景点是给我们找当地最熟悉的人带我们，她在后面陪同，从游景点还是酒店食宿的安排，都很细心特别的照顾每个人，王导的性格很直爽，说话也很幽默，这次的三天游觉得特别开心，特别值得。再一次让我相信，携程上只要挑对地方，服务质量都有保障，再一次感谢王导，给我们一次难忘的三天之旅，如果有机会，肯定会再找她，或者有朋友要到此地游玩，我会直接介绍她们过来找王导带队。,1
导游很尽职尽责，是为好导游，很是感谢！！！,1
我都很奇怪这个团之前怎么那么多人好评，我们去的第一天的导游姓彭，说是帮旅游旺季帮朋友旅行社的忙，说话各种牛气哄哄的，第一天啥事没干就坐车，然后车上让你各种自费景点，有的自费的是写在行程里的，我们也都愿意去，但是有些是没有写在行程里的，那么我们要是去了这个景点自然而然就占用了我们本打算去的景点的时间，但是事实就是这样，第一天的伙食更是没法说，还跟我们说是这几天的最高标准······不说吃不吃好，好多人吃完饭都去买零食了。饭桌上都有人开始说要投诉。行程各种拖拉，本来定好七点的最少拖到九点，然后夜里12点还不能睡觉。第二天依然是这个彭导，一大早就带我们去购物，行程里面是有购物环节，但是是从天门山下来之后，但是导游都没有征求意见，就一大早把我们拉到购物的地方，然后才去天门山，这样就导致我们中餐只能在山顶吃，但是又没给我们留时间。值得庆幸的是这个导游在山顶还给我们做了一些讲解，这点还是挺好的。下午下山换了新的导游，新导游姓覃，这个导游跟之前的就是天壤之别了，人很好，介绍很好，对于各种询问都很耐心，为这份旅途增乐不少。总体来说，景色还挺好，跟要好的朋友出去在哪都觉得温暖，但是要实事求是的点评这个团,1
遇到了人生中感觉最差的导游，景点没去到说都不说一声直接不去也不讲解，下车什么都不讲上车要休息了一直讲讲讲，永远找不到导游在哪里。明明他帮我们登记入住的打电话问明天行程他说不知道我们在那里问我们酒店名告诉他他回一句我从来没有听过这个酒店，大哥你帮我们登记入住的好么你逗我么？行程明明有很多景，结果都不知道自己看了什么，一直在被退钱，说真的也不差这点钱，坐这么久的车到那里随便看看就走每天起码5个小时以上的车程，行程说没就没，导游还自以为自己放弃个行程让我们直接错过芙蓉镇说都不和我们说一声，还觉得自己做的很对，大哥你是谁啊你有什么权利什么都不说就帮我们决定，是不是所有行程都不用管了直接听你的好了。凤凰九景我觉得只去了四个，也是不得了。反正我真的不知道能夸什么，一上车就说自己很走心的导游也真是以为我们失了智了。导游一直说自己工作量很大自己准备了几个本子厚厚的笔记，然而这样都不能做到让大多数人满意的话那是什么问题呢？还有想起来就气的是安排购物点安排就安排了但是去到后就像个大型传销现场不过说不定每个购物点都是这样吧，我也是第一次体验到去购物点听导购宣传被导购骂一顿的。我写够500字差评您是要问我要钱么？,1
坐车的时间太长，玩不到什么东西，吃的差，住的差，景点一般般，建议可以去国家森林公园，玻璃桥和大峡谷没必要去，天门山的索道可以坐坐，自动扶梯坐一半就行，可以多自行走走,1
怎么说呢，报团想玩好是不太可能，就是走马观花的看看，在凤凰古城的导游很负责，把当地的民俗文化，如何购物游玩啊什么的都讲的很清楚，但是前两天玻璃桥天门山的导游就一直给安利自费项目，天门山的扶梯是自费的，有两段，但个人认为没必要坐两段，因为从第二段下去就直接到天门山底下了，如果坐扶梯的话就没法看途中的风景，而且从第一段下去走台阶也很快。我们是坐了两段扶梯，因为导游说要坐两段才能下来，到了天门山连拍照的时间都没给，直接让我们坐景区的区间车下山了。还有学生票是可以给退钱的，区玻璃桥的时候导游说我们套餐里是全票已经出了不能用学生票，给客服打电话后面说给我们一人退10块，但是直到我们行程结束两天也没给。(由于第一天只有玻璃桥一个景点，我们就自费去了宝峰湖，最开始导游给我说之前买的学生票是120，后面又给我同行的朋友说是140，问她怎么价钱说的不一样，那个导游就支支吾吾的敷衍过去了。不过第二天的天门山给退了差价的。,1
在张家界和天门山的导游很好，行程安排较为满意，唯一不足是餐食质量较差，无可避免。但是到了凤凰古城，导游经常言语轻浮下流，黄段子频出。不仅如此，凤凰古城的游览走马观花，很多行程介绍的地方都没走到，以此节省的时间都花在了另一个不知名且行程没有涉及的地方上去了。虽然不知名景点没有花钱，但是这极大的影响了我凤凰古城的游览质量！！！不知道不知名景点是不是和旅行社、导游有某些利益关系！希望其他人能够把眼睛放亮，找到适合自己的旅游线路，不要像我一样，花了钱还被套路了！,1
是一次不开心的旅游，原来行程中安排的，只有一个小时的购物，结果早晨六点钟被叫起来就去购物。一直持续了一个上午，因此造成后面儿的行程非常紧张。到哪凤凰古城已经是夜里11点了，结果第二天早上六点半又起来饭也不给吃，就领了又去购物，九点钟才吃上早餐。而且导游有乱收费的现象。玻璃栈道的鞋套，应该是五块钱她收十块。玻璃桥的鞋套应该是免费的，可是她也收了十块。几天的旅游时间里，尽跑路了看景点的时间很少。I,1
房间差，你们自己看有????子爬……..我想多玩一下车子要走了，我三分钟就赶上了没有等我.！我自己买票坐回去的！！经过这次以后再也不会跟团游了，真后悔,1
相信携程才会去选择跟团去普陀山让母亲，好好的去，回来因为在山上摔跤导游第一时间没有把游客送至医院就医，导致手部骨折，撕裂差评,1
挺好的，有机会还会去的,1
"超级**的一次体验，去了之后，很多景点都没有去，整个行程跟赶场一样，感觉比上班都要累，有些景点问导游，怎么网上看到的景点都没有，导游告我，天黑了，去不了了，我也是醉了，然后后面就不了了之了，后面遇到一次更改套餐的事情，差价应该是60块，导游很搞笑的，跟我讲，只退你40，平台还扣他20,，我也很蒙，整个感受感觉就是，被携程卖给了一个黑导游，后面住的酒店也很搞笑的，跟实景差距相当大，整体感觉再来，比自由行差了很多……",1
根本不是纯玩团，跟宣传的不一样，够骗人的，三个线路拼一起走。劝大家谨慎报团,1
这个酒店和产品里的图片真的差的不止一点点，进门就是房间，4平方，差到不能忍到明天评价！,1
非常差，这是我跟过最差的团,1
导游讲解非常耐心，指导到位，有交通工具到各个景点，就是民宿有一点挤，楼下酒店有小强。海鲜特别便宜，蔬菜价格较高，值得下次再来。,1
化太岁和功德圆满金都是把钱交给导游，感觉这个操作不合规，正规流程不是应该我们自己来操作的吗？,1
在携程下了订单然后跟团去旅游，A线需要9个景点精装客栈，B线11个景点海边客栈，C线12个景点海边精装客栈，我选择了B线，但是全程跟A线的景点以及住宿都一样没有任何不同，但是价格上却不同，A线房差是60元，B线房差是70元，当时问导游，导游说居住的都一样，问携程客服说住的地方不一样，本人很费解为什么住的地方一样房差却不一样，还有就是行程单上的行程多花了钱但是享受的景点却没有任何不同，导游说他也不知道旅行社怎么安排的，同行中的旅客选择c线和我的情况一样住的地方以及行程都和A线一样，同行的另一位伙伴是在**下单的住的环境是全季酒店，和我们的居住环境完全不一样，我住的当晚就有三个大蟑螂，以及小虫子，三只还是一起出现的都很大只吓得一晚上没敢睡觉，所以大家下单还是去**下单吧划算一点，至于中间出现的问题不知道是携程的问题还是旅行社的问题，总之很烂的一次旅行，去了很多次了真的很烂,1
***，酒店一般，导游负责,1
很差劲的一次体验，和宣传手册上差很多，住的地方尤其的差，价格还贵，行程上很紧凑，说是20人团，最后是50多人团，很不方便,1
整个路程下来感觉都很好，导游很幽默很耐心，唯一不开心的就是岛上虫虫家，服务员看点菜少，态度极其不好，还说一个人要点4个菜，还不让进屋，果断的选择了其他家，岛上有很多家餐馆，大可不必选择他家！,1
讲好6点40分集合，7点准时发车，但是车子7点45分到的车，到车之后，驾驶员也不熟悉业务，8点多还没发车。人民广场接车的导游态度也不好。住宿也不好，外面的空调外机像拖拉机，吵的睡不着觉。床单枕头都是污渍，一点也卫生。,1
1、导游于导，人很有经验，知识丰富，就是行程安排讲解方面略有些拖沓，例如法雨寺这一站，大家都非常早起很早赶到了法雨寺，那个时候人还没有很多，然后导游在外面讲了快15分钟，才开始带大家进去，还要请福，绕塔等等，这期间已经很多比我们晚到的团已经进去了...里面已经就开始人山人海拥挤了...然后进去里面每一层又得重复一遍，个人觉得完全可以分开一步一步讲，这样或许更合理。 2、吃饭方面，基本上这边合作的团餐是在码头的余记，非常建议不要吃这家团餐，极其寡淡，量也不够，几乎全是素菜，荤菜也很水...宁愿自己点也不建议吃团餐，码头有很多餐厅，自己去找饭吃更好。我们去程自己解决吃挺好，返程买了团餐，以为是在岛上餐厅吃，结果没想到是码头的余记...如果知道是余记肯定不会买团餐！3、另，岛上的晚饭，可以考虑去虫虫xx对面的山水花园酒店餐厅吃，价格和虫虫xx差不多，但是环境服务各方面好很多，可以看下付款有无代金券优惠。4、第二次来普陀山了，感觉这次来比上次多了很多额外的自选项目（祈福拜拜相关的），希望不是说坑游客骗善心就好唉...提醒大家很多地方都可以买香，游客很多自备的，山上也有很多卖香的。,1
我啥也不想说,1
这个团的行程很赶，很累，基本五点多就起床然后出门，一路都是走路上山，累成狗，不建议老年人参加，因为我这个年轻人都觉得累，还有当时我们包的是有团餐的，结果第一天去了那里，厉害的，就给我们一个人一个盒饭，而且量少的来，女孩子都吃不饱，最最最想吐槽的就是那个名宿，三个字脏乱差！！！一开始导游和我们说住的名宿可能很小，我想小就小没关系只要干净，没想到进去吓死人，电视机是坏的，我们二个人，拖鞋只有一双，卫生纸也没有，窗帘竟然是发霉的！电热水壶坏的！真的是一言难尽，那天连澡都没有洗，从来没住过那么差的民宿！还有所谓的包早饭，就给你一个白馒头和一个鸡蛋，你喂小鸡呢？！更离谱的事这个名宿下面就是吃饭的地方，导游和我们说再下面吃饭能保证我们，去其他地方吃饭她不能保证，结果信了她的话再下面吃了，结果一个炒鱿鱼竟然要372块！！被坑的无话可说！这个团也不是廉价团，竟然那么坑人，吃的差，住的差，我介意大家还是自由行吧。,1
住宿条件差，门锁坏，卫生间漏水，积水！无法给予换房！,1
行程礼佛时间太少推销购物时间太长住宿因为价钱便宜也只能住这样的地方 ,1
没有导游，没有服务！说好12点到的，到现在（晚上近7点了）还在舟山大桥上，有客观原因，司机不熟悉路况也是主要原因。为了安全，没有与司机交涉，整个安排，应该也不是司机的事，携程给个说法，否则到消费者或相关媒体投诉。,1
不知道是清明节还是什么价格贵了，去年的300多体验的都还不错，今年的六百多房子也还是那种农家乐，今年的导游一般般吧，行程安排的也一般般，不算很满意，第二天去的地方我没起得来，我睡醒打电话过去她既然说没来吗我都不知道？？队里少一个人都不知道吗？有这种不负责的吗？最少打个电话吧。还是去年的刘导游安排的好。,1
整体流程没有问题，但是被导游忽悠买298一盒的香，还有人买了近一千的，福袋100一个，送3年什么小人330，这些都是额外的花费，另外这个民宿/客栈的环境太差了，女朋友都起疹子了，反正下一次我是不会报这种团了,1
一个团游客比较多，花费购物有点多，高消费，并且住宿条件一般，本来说好的大床房，最后给安排了标间小床。不做推荐。最后吃饭没吃几口，菜做的比较难吃完全没有胃口,1
导游全程表现点到为止，讲解也是一般般。,1
行程拖拉，也没比自行出游便宜，住宿是合作的民宿，到七点多才安排到住宿地方，房间一般，没办法还只能在民宿那里吃饭，吃住一体，可能这就是跟团吧,1
感觉很可以哦,1
总体来说不怎么样，暗消费比较多，想到来的是普陀山这样的地方就不计较太多了,1
行程满意，导游讲解的也很详细，就是住宿体验太差,1
房间小，住宿条件差强人意,1
普陀山之行，郭导还不错，回来车子坏在杭州湾大桥过了一个多小时还没车子来接，从看日落等到外面乌漆嘛黑，司机也没给个交代，也没说什么时候有车子来接，慢长的等待,1
极差的体验，第一次见到这么差的团，刚启程，就后悔。,1
这次过来，2个小导游很可爱很漂亮，讲解和服务都很好，不啰嗦，不拖拉，干脆利落，一路过来导游还是很满意的，唯独住宿不好，太吵了。,1
车子坏在杭州湾大桥不闻不问，一颗星都不想给,1
旅行整个安排很好，导游认真负责，讲解到位。住宿除了房间小点，整体还是蛮干净的。跟团旅游省心省事。,1
不太好！！,1
弘扬佛法，行程圆满，服务到位,1
住宿最差的一次、服务最差的一次,1
还不错一直想去的,1
王导很专业，满满的正能量。安排得紧凑却有秩序，点个赞吧！今天中午这顿团餐，我们全体拉肚子！怎么回事？对饭店没有额外要求，最基本的卫生也没有吗？请导游关注是否还有其他旅客拉肚子。导游本人服务是可以的，希望这条评论不会令导游难堪。,1
住宿太差，香火贵了好几倍,1
总体评价还可以,1
导游在调剂安排时不顾游客的个人感受,1
只能讲一般，有点乱，农家乐住宿差，朱导还行，回程从1点30到7点半到达上海南站，有点无语，跟团游不靠谱！,1
出发是从松江上车，客服人员通知7:40等候，7:50发车；结果车7:35到了（正好在附近的卫生间），然后司机就态度不好，还说耽误了行程；路上还在反复说由我们耽误了行程；后来住宿调整了，但是早餐却分三六九等，给我们的是儿童票（早餐不含鸡蛋）；整体来说不怎么满意,1
除了佛顶山是自行前去的，其他想去的寺庙行程中都有安排，小郭导游带队，讲解得很好。对住宿和膳食不是很满意，而且同个团队的小伙伴问了几个都是400多订的，有个跟我订了一样的含餐团，***网只要400多，我这个600多估计是全团最贵的价格了。很迷……我往后翻了两个月都没这么高的价格，感觉很坑。,1
导游讲解细心周到，较前几次相比，这次住宿条件差一点路程远，要多花二十车，本想下船买些特产什么的，让路过服务区在买，省钱了，最后还是要感谢导游送的小礼物,1
